author_id;username;id;created_at(utc);lang;tweet;tweetcount;followers;following;url
502910443;Nancy04noe;1505423582951788548;20/03/2022 05:58:46;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;216395;4794;912;https://twitter.com/twitter/status/1505423582951788548
187676298;colourful_soul_;1505423468405403650;20/03/2022 05:58:18;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;74655;5076;2588;https://twitter.com/twitter/status/1505423468405403650
347686280;DinoMavromatis;1505422232960573440;20/03/2022 05:53:24;el;Σε ποια ταινία του Netflix πρωταγωνιστεί ο Μανώλης Εμμανουήλ  https://t.co/hKzZjbl7KF;47407;308;1327;https://twitter.com/twitter/status/1505422232960573440
2706125169;matziarakis376;1505418871666315265;20/03/2022 05:40:02;el;RT @yorgisAnyfantis: Μανώλης Κεφαλογιάννης :  Για κοιτάξτε πως ζουν στη Συρία και το Ιράκ και μετά να κάνετε παράπονα για τη ΝΔ και τον Μητ…;28791;1090;1815;https://twitter.com/twitter/status/1505418871666315265
726418016;fouitgr;1505415095706292224;20/03/2022 05:25:02;el;Μανώλης Χατζησυμεωνίδης: Ψάχνω για ένα θαύμα! https://t.co/xUx6iO05sI;168980;722;122;https://twitter.com/twitter/status/1505415095706292224
4328654057;presshub_gr;1505414709364891651;20/03/2022 05:23:30;el;[Κλικ και διαβάστε στο newsbomb] #Μανώλης Χιώτης: Ο μεγάλος Έλληνας που έκανε την οικουμένη να υποκλιθεί στον ήχο του μπουζουκιού του https://t.co/ENxZfmXPQC;775609;20283;13907;https://twitter.com/twitter/status/1505414709364891651
1420020451619782667;ArionGRmusic;1505405054496522246;20/03/2022 04:45:08;el;RT @ArionGRmusic: 🎶 ΤΟΥ ΧΑΡΟΥ ΤΟ ΠΑΡΑΠΟΝΟ 🎙️ Νίκος Παπάζογλου / Δημήτρης Κοντογιάννης  |✍️ Μανώλης Ρασούλης |🎼 Νίκος Ξυδάκης |💿  Η ΕΚΔΙΚΗΣΗ…;14208;370;339;https://twitter.com/twitter/status/1505405054496522246
1420020451619782667;ArionGRmusic;1505405040764334080;20/03/2022 04:45:05;el;RT @ArionGRmusic: 🎶 ΚΥΡ ΔΙΕΥΘΥΝΤΑ ΤΩΝ ΔΙΣΚΩΝ 🎙️ Νίκος Παπάζογλου |✍️ Μανώλης Ρασούλης |🎼 Νίκος Παπάζογλου |💿  Η ΕΚΔΙΚΗΣΗ ΤΗΣ ΓΥΦΤΙΑΣ  |🗓️ 2…;14208;370;339;https://twitter.com/twitter/status/1505405040764334080
1420020451619782667;ArionGRmusic;1505404695950643200;20/03/2022 04:43:43;el;RT @ArionGRmusic: 🎶 ΤΡΕΛΗ ΚΙ ΑΔΕΣΠΟΤΗ 🎙️ Νίκος Παπάζογλου |✍️ Μανώλης Ρασούλης |🎼 Νίκος Ξυδάκης |💿  Η ΕΚΔΙΚΗΣΗ ΤΗΣ ΓΥΦΤΙΑΣ  |🗓️ 22/3/1978 h…;14208;370;339;https://twitter.com/twitter/status/1505404695950643200
1420020451619782667;ArionGRmusic;1505404676958826497;20/03/2022 04:43:38;el;RT @ArionGRmusic: 🎶 ΑΠΟ ΤΗ ΓΥΝΑΙΚΑ ΓΙΑ ΤΗ ΓΥΝΑΙΚΑ 🎙️ Νίκος Παπάζογλου ✍️ Μανώλης Ρασούλης 🎼 Νίκος Ξυδάκης |💿  Τα δήθεν  |🗓️ 1979 https://t.…;14208;370;339;https://twitter.com/twitter/status/1505404676958826497
